Clause_Number,Clause_Text,Category,Confidence,Risk_Score
1,"htm FORM OF INITIAL SUMMARY PROSPECTUS
INITIAL SUMMARY PROSPECTUS
FOR
DEFERRED VARIABLE ANNUITY
an individual variable and fixed deferred annuity contract - flexible purchase payments issued by
THE PENN INSURANCE AND ANNUITY COMPANY
and funded through
PIA Variable Annuity Account I
of
The Penn Insurance and Annuity Company
PO Box 178, Philadelphia, Pennsylvania 19105
1-800-523-0650
[Date]
  
This Summary Prospectus (the “Summary Prospectus”) describes an Individual Variable and Fixed Deferred
Annuity with flexible purchase payments contract (the “Contract”) issued by The Penn Insurance and Annuity Company
(“PIA,” the “Company,” “we,” “us,” or “our”)",Termination,0.218,3
2,"The Summary Prospectus contains information that the Contract owner
should know before purchasing a Contract",Warranty,0.574,2
3,Please read it carefully and save it for future reference,Payment Terms,0.404,2
4,"This Summary
Prospectus is not an offering in any state, country, or jurisdiction in which we are not authorized to sell the Contracts",Governing Law,0.444,1
5,The Contract is not available in New York,Governing Law,0.685,1
6,The Contract is an agreement between you and PIA,Termination,0.406,3
7,"You agree to make one or more payments to us and
we agree to make annuity and other payments to you at a future date",Indemnification,0.281,3
8,"The Contract:
 
 
•
  is an individual annuity and is not available as a group contract;
 
•
  has multiple investment options available, including variable investment options which invest in
underlying mutual fund portfolios and fixed investment options which will earn an interest rate which
we will declare;
 
•
  is a deferred annuity, which means that the regular annuity payments do not start immediately;
 
•
  allows for flexible purchase payments, on or after the contract date, subject to certain restrictions;
 
•
  is tax-deferred, which means that you will not pay income taxes until we begin to make annuity
payments to you, or you take withdrawals from the Contract, or until the death benefit is paid to your
beneficiary(ies);
 
•
  allows you to choose among the fixed annuitization options that can guarantee income payments for
a specified period or for the lifetime of the annuitant(s);
 
•
  includes a standard death benefit; and
 
•
  offers a selection of optional benefits at an additional charge including the Guaranteed Income
Rider, Accumulation Income Rider, Enhanced Death Benefit Rider, and Guaranteed Minimum
Accumulation Rider (although rider availability may vary by state and may change in the future)",Warranty,0.559,2
9,"Before you invest, you should also review the Prospectus for the Contract, which contains more information
about the Contract’s features, benefits, and risks",Warranty,0.535,2
10,"You can obtain the Prospectus online at
www",Termination,0.191,3
11,com/for-individuals-and-businesses/products-and-performance/performance-and-rates,Intellectual Property,0.377,2
12,"You can also
request this information at no cost by calling 1-800-523-0650 or by sending an email request to
FundOperations@pennmutual",Warranty,0.738,2
13,"If you are a new purchaser of a Contract, you may cancel your Contract within 10 days of
receiving it without paying fees or penalties",Warranty,0.385,2
14,"In some states, this “Free Look” or cancellation period may be longer",Termination,0.411,3
15,"If
you cancel your Contract, in most states you will receive your Contract value and any fees or charges deducted",Termination,0.344,3
16,"In
some states, you will receive a full refund of the amount of any premiums you have paid, if greater than Contract value",Warranty,0.348,2
17,"You should review the Prospectus, or consult with your financial professional, for additional information about the
specific cancellation terms that apply",Warranty,0.322,2
18,"Additional information about certain investment products, including variable annuities, has been prepared by
the Securities and Exchange Commission’s staff and is available at Investor",Warranty,0.396,2
19,Contracts have risks including risk of loss of the amount invested,Warranty,0.357,2
20,"Contracts are not deposits of, or
guaranteed or endorsed by, any bank and are not federally insured by the FDIC, Federal Reserve Board, or any other
agency",Confidentiality,0.354,1
21,An investment in the Contract involves investment risk including the possible loss of principal,Warranty,0.48,2
22,"TABLE OF CONTENTS
 
Section
   Page 
Definitions
    
3 
Important Information You Should Consider About the Deferred Variable Annuity Contract
    
8 
Overview of the Deferred Variable Annuity Contract
    
12 
Benefits Available Under the Deferred Variable Annuity Contract
    
14 
Buying the Deferred Variable Annuity Contract
    
15 
Making Withdrawals: Accessing the Money in Your Deferred Variable Annuity Contract
    
18 
How Can I Withdraw Money from the Deferred Variable Annuity Contract?
    
18 
What Is Annuitization and How Do I Annuitize the Deferred Variable Annuity Contract?
    
21 
Additional Information About Fees
    
23 
Appendix A Portfolio Companies Available Under the Deferred Variable Annuity Contract
     A-1 
**********
The prospectuses of the mutual fund portfolios that are available in the Variable Investment Options (the
“Portfolios” or the “Portfolio Companies”) contain important information that you should know about the variable
investment options that may be made under the Contract",Warranty,0.327,2
23,"You should read the prospectuses of the available Portfolios
carefully before you invest",Warranty,0.439,2
24,"You can obtain the prospectuses for the Portfolios online at
www",Warranty,0.431,2
25,com/for-individuals-and-businesses/products-and-performance/performance-and-rates,Intellectual Property,0.377,2
26,"You can also
request this information at no cost by calling 1-800-523-0650 or by sending an email request to
FundOperations@pennmutual",Warranty,0.738,2
27,"This Summary Prospectus (and the variable annuity) is not considered an offering in any jurisdiction where
such offering may not be lawfully made",Indemnification,0.395,3
28,"We do not authorize any information or representations regarding the offering
described in this Summary Prospectus, the Prospectus, and the Statement of Additional Information (the “SAI”) other
than as contained in these materials or any supplements to them, or in any other sales material we authorize",Indemnification,0.393,3
29,"2
 
DEFINITIONS
The following key terms and their definitions are included to help make this Summary Prospectus as readable and
understandable for you as possible",Warranty,0.596,2
30,"Other terms used within this Summary Prospectus are defined within the text
where they appear",Warranty,0.333,2
31,Not all of the definitions of those terms are repeated in this glossary,Governing Law,0.277,1
32,"More detailed information
concerning the terms defined below is in the appropriate sections of this Summary Prospectus or the Prospectus",Governing Law,0.284,1
33,"Accumulation Benefit Base: The amount used to determine the minimum value available at the end of the
Accumulation Benefit Period under the Guaranteed Minimum Accumulation Rider",Warranty,0.507,2
34,"Accumulation Benefit Percentage: A percentage used to determine the minimum value available at the
end of the Accumulation Benefit Period under the Guaranteed Minimum Accumulation Rider, which varies
depending on the Accumulation Benefit Period selected",Warranty,0.547,2
35,"Accumulation Benefit Period: Depending on the available option selected under the Guaranteed Minimum
Accumulation Rider, a period of time of either seven or 10 years at Contract issue, and five, seven, or 10
years upon electing a Reset Benefit",Warranty,0.367,2
36,"Accumulation Income Benefit Base: The amount used to determine the Guaranteed Annual Withdrawal
Amount under the Accumulation Income Rider",Warranty,0.283,2
37,"Accumulation Income Rider: An optional benefit that may be added to your Contract, for an additional
charge, which provides for a guaranteed Lifetime Withdrawal benefit",Termination,0.505,3
38,"Accumulation Period: A period that begins with your first Purchase Payment and ends on the Annuity
Date",Warranty,0.294,2
39,"Accumulation Unit: A unit of measure used to compute the Variable Account Value under the Contract prior
to the Annuity Date",Warranty,0.554,2
40,Actual Age: True calendar age in exact years (including partial year),Intellectual Property,0.524,2
41,"Administrative Office: The Penn Insurance and Annuity Company, Administrative Office, 600 Dresher
Road, Horsham, Pennsylvania 19044",Indemnification,0.177,3
42,"Age-Based Lifetime Withdrawal Rate: The age-based component of the Lifetime Withdrawal Rate (based
on the age of the younger Covered Life) under the Lifetime Withdrawal Guarantee of the Accumulation
Income Rider",Warranty,0.32,2
43,Age Nearest Birthday: Age rounded to nearest whole number of years,Intellectual Property,0.948,2
44,"Annuitant: The individual named in the Contract whose lifetime is used as a measuring life for all annuity
options, benefits, and features",Warranty,0.227,2
45,"Annuitization: The process by which you convert your Contract Value into a stream of regular income
payments",Warranty,0.552,2
46,"Annuity Date: The date on which annuity payments begin, and the Contract transitions from the
accumulation phase to the Annuitization (income) phase",Warranty,0.367,2
47,"The date annuity payments are scheduled to begin
is shown in the Contract and will never be later than the maximum maturity date",Payment Terms,0.308,2
48,"Annuity Payout Period: The period of time, starting on the Annuity Date, during which we make annuity
payments",Payment Terms,0.357,2
49,Base Contract: The Contract without optional benefits,Termination,0.642,3
50,"Beneficiary: The person(s) named by the Contract Owner to receive the death benefit payable upon the
death of the Contract Owner or Annuitant",Indemnification,0.88,3
51,"Code: The Internal Revenue Code of 1986, as amended",Governing Law,0.507,1
52,"3
Company: The Penn Insurance and Annuity Company",Indemnification,0.219,3
53,"Also referred to as “we,” “our,” and “us,” or “PIA",Governing Law,0.195,1
54,"”
Contingent Annuitant: The individual designated by the Contract Owner and named in the Contract who
will become the Annuitant in the event that the Annuitant dies before the Contract is terminated or
annuitized",Indemnification,0.721,3
55,Contract: The combination variable and fixed annuity Contract described in this Summary Prospectus,Governing Law,0.376,1
56,Contract Anniversary: Any subsequent anniversary date of the Contract Date,Termination,0.379,3
57,"All values that are
determined on a Contract Anniversary are based on the next close of regular trading on the NYSE",Intellectual Property,0.325,2
58,"To the
extent the Contract Anniversary falls on a date other than a business day any value to be determined as of
the Contract Anniversary will be determined as of the close of regular trading of the NYSE on the next
business day",Intellectual Property,0.25,2
59,Contract Date: The date the Contract is issued,Warranty,0.274,2
60,"Contract Owner or Owner: The person or entity, named in the Contract, unless amended by any
subsequent change in ownership, entitled to exercise all of the ownership rights under the Contract",Indemnification,0.875,3
61,"Contract Specifications Page: The Contract Specifications Page contains your Contract’s individual
specifications",Warranty,0.793,2
62,Contract Value: The sum of the Variable Account Value and the Fixed Account Value,Warranty,0.723,2
63,"Contract Year: The time period between Contract Anniversaries; the first Contract Year runs from the
Contract Date to the first Contract Anniversary",Termination,0.33,3
64,"Contract Year Quarter: Each three-month period during a Contract Year, with the first Contract Year
Quarter in any Contract Year starting on the Contract Anniversary",Termination,0.334,3
65,"Covered Life: The person designated in the Contract upon whose age/lifetime the features and benefits of
any Rider are based",Indemnification,0.434,3
66,"Death Benefit Enhancement: The amount by which the Enhanced Death Benefit Base exceeds the
Standard Death Benefit payable under the Contract",Warranty,0.228,2
